# 10 out of 10 mutations
# 3 tree
9 #edges, tree 1
4 7
8 3
2 9
4 8
10 6
8 10
1 4
1 5
5 2
9 #edges, tree 2
2 7
8 3
2 9
4 8
10 6
8 10
1 4
1 5
5 2
9 #edges, tree 3
8 3
2 9
4 8
5 7
10 6
8 10
1 4
1 5
5 2
1 #anatomical sites
4 #samples
10 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.986936090225564	0.986936090225564
0	A_0	0	A	1	2	0.000125	0.000125
0	A_0	0	A	2	3	0.49661764705882355	0.49661764705882355
0	A_0	0	A	3	4	0.9775862068965517	0.9775862068965517
0	A_0	0	A	4	5	0.0	0.0
0	A_0	0	A	5	6	0.002340425531914894	0.002340425531914894
0	A_0	0	A	6	7	0.011923076923076923	0.011923076923076923
0	A_0	0	A	7	8	0.8921052631578947	0.8921052631578947
0	A_0	0	A	8	9	0.0	0.0
0	A_0	0	A	9	10	0.15	0.15
1	A_1	0	A	0	1	0.996484962406015	0.996484962406015
1	A_1	0	A	1	2	0.417	0.417
1	A_1	0	A	2	3	0.0022058823529411764	0.0022058823529411764
1	A_1	0	A	3	4	0.37568965517241376	0.37568965517241376
1	A_1	0	A	4	5	0.7321153846153846	0.7321153846153846
1	A_1	0	A	5	6	0.0	0.0
1	A_1	0	A	6	7	0.3223076923076923	0.3223076923076923
1	A_1	0	A	7	8	0.0005263157894736842	0.0005263157894736842
1	A_1	0	A	8	9	0.0	0.0
1	A_1	0	A	9	10	0.0	0.0
2	A_2	0	A	0	1	0.9984586466165414	0.9984586466165414
2	A_2	0	A	1	2	0.00025	0.00025
2	A_2	0	A	2	3	0.00014705882352941178	0.00014705882352941178
2	A_2	0	A	3	4	0.9891379310344828	0.9891379310344828
2	A_2	0	A	4	5	0.0	0.0
2	A_2	0	A	5	6	0.4551063829787234	0.4551063829787234
2	A_2	0	A	6	7	0.0	0.0
2	A_2	0	A	7	8	0.8794736842105263	0.8794736842105263
2	A_2	0	A	8	9	0.0	0.0
2	A_2	0	A	9	10	0.8581818181818182	0.8581818181818182
3	A_3	0	A	0	1	0.9934398496240602	0.9934398496240602
3	A_3	0	A	1	2	0.7162499999999999	0.7162499999999999
3	A_3	0	A	2	3	0.00014705882352941178	0.00014705882352941178
3	A_3	0	A	3	4	0.01310344827586207	0.01310344827586207
3	A_3	0	A	4	5	0.9444230769230769	0.9444230769230769
3	A_3	0	A	5	6	0.0	0.0
3	A_3	0	A	6	7	0.0	0.0
3	A_3	0	A	7	8	0.0005263157894736842	0.0005263157894736842
3	A_3	0	A	8	9	0.69	0.69
3	A_3	0	A	9	10	0.0	0.0
