# 8 out of 8 mutations
# 3 tree
7 #edges, tree 1
9 7
1 3
4 9
9 2
1 4
7 8
3 5
7 #edges, tree 2
1 2
9 7
1 3
4 9
1 4
7 8
3 5
7 #edges, tree 3
9 7
1 3
4 9
1 4
4 2
7 8
3 5
1 #anatomical sites
3 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9876716417910447	0.9876716417910447
0	A_0	0	A	1	2	0.002476190476190476	0.002476190476190476
0	A_0	0	A	2	3	0.9444578313253011	0.9444578313253011
0	A_0	0	A	3	4	0.0	0.0
0	A_0	0	A	4	5	0.3019230769230769	0.3019230769230769
0	A_0	0	A	5	7	0.0	0.0
0	A_0	0	A	6	8	0.0	0.0
0	A_0	0	A	7	9	0.0008333333333333334	0.0008333333333333334
1	A_1	0	A	0	1	0.9692537313432835	0.9692537313432835
1	A_1	0	A	1	2	0.17485714285714288	0.17485714285714288
1	A_1	0	A	2	3	0.00012048192771084338	0.00012048192771084338
1	A_1	0	A	3	4	0.772909090909091	0.772909090909091
1	A_1	0	A	4	5	0.0	0.0
1	A_1	0	A	5	7	0.0	0.0
1	A_1	0	A	6	8	0.0	0.0
1	A_1	0	A	7	9	0.45833333333333337	0.45833333333333337
2	A_2	0	A	0	1	0.9992537313432835	0.9992537313432835
2	A_2	0	A	1	2	0.0010476190476190477	0.0010476190476190477
2	A_2	0	A	2	3	0.0026506024096385546	0.0026506024096385546
2	A_2	0	A	3	4	0.99	0.99
2	A_2	0	A	4	5	0.0019230769230769232	0.0019230769230769232
2	A_2	0	A	5	7	0.92	0.92
2	A_2	0	A	6	8	0.2773333333333334	0.2773333333333334
2	A_2	0	A	7	9	0.9866666666666667	0.9866666666666667
