# 10 out of 10 mutations
# 2 tree
9 #edges, tree 1
1 2
2 7
1 3
2 8
9 10
3 9
3 6
2 5
3 4
9 #edges, tree 2
1 2
1 3
2 8
9 10
3 9
3 6
8 7
2 5
3 4
1 #anatomical sites
5 #samples
10 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9990551181102362	0.9990551181102362
0	A_0	0	A	1	2	0.0	0.0
0	A_0	0	A	2	3	0.9488571428571428	0.9488571428571428
0	A_0	0	A	3	4	0.0	0.0
0	A_0	0	A	4	5	0.0	0.0
0	A_0	0	A	5	6	0.5038461538461538	0.5038461538461538
0	A_0	0	A	6	7	0.0	0.0
0	A_0	0	A	7	8	0.0	0.0
0	A_0	0	A	8	9	0.008888888888888889	0.008888888888888889
0	A_0	0	A	9	10	0.0	0.0
1	A_1	0	A	0	1	0.9992913385826772	0.9992913385826772
1	A_1	0	A	1	2	0.0	0.0
1	A_1	0	A	2	3	0.96	0.96
1	A_1	0	A	3	4	0.0	0.0
1	A_1	0	A	4	5	0.0	0.0
1	A_1	0	A	5	6	0.01	0.01
1	A_1	0	A	6	7	0.0	0.0
1	A_1	0	A	7	8	0.0	0.0
1	A_1	0	A	8	9	0.9277777777777777	0.9277777777777777
1	A_1	0	A	9	10	0.17	0.17
2	A_2	0	A	0	1	0.9994881889763779	0.9994881889763779
2	A_2	0	A	1	2	0.0	0.0
2	A_2	0	A	2	3	0.9794285714285714	0.9794285714285714
2	A_2	0	A	3	4	0.62	0.62
2	A_2	0	A	4	5	0.0	0.0
2	A_2	0	A	5	6	0.0	0.0
2	A_2	0	A	6	7	0.0	0.0
2	A_2	0	A	7	8	0.0	0.0
2	A_2	0	A	8	9	0.0	0.0
2	A_2	0	A	9	10	0.0	0.0
3	A_3	0	A	0	1	0.9995275590551181	0.9995275590551181
3	A_3	0	A	1	2	0.95	0.95
3	A_3	0	A	2	3	0.011714285714285714	0.011714285714285714
3	A_3	0	A	3	4	0.0	0.0
3	A_3	0	A	4	5	0.0	0.0
3	A_3	0	A	5	6	0.0	0.0
3	A_3	0	A	6	7	0.26083333333333336	0.26083333333333336
3	A_3	0	A	7	8	0.7150000000000001	0.7150000000000001
3	A_3	0	A	8	9	0.0	0.0
3	A_3	0	A	9	10	0.0	0.0
4	A_4	0	A	0	1	0.999763779527559	0.999763779527559
4	A_4	0	A	1	2	0.98	0.98
4	A_4	0	A	2	3	0.0014285714285714286	0.0014285714285714286
4	A_4	0	A	3	4	0.0	0.0
4	A_4	0	A	4	5	0.94	0.94
4	A_4	0	A	5	6	0.0	0.0
4	A_4	0	A	6	7	0.0	0.0
4	A_4	0	A	7	8	0.0008333333333333334	0.0008333333333333334
4	A_4	0	A	8	9	0.0	0.0
4	A_4	0	A	9	10	0.0	0.0
